stride exp: 0
non-partitioning, branch: 0
dynamic vector	217.327	234.358	222.556	203.955	183.18	161.803	141.836	118.35	94.368	69.287	
static vector (group)	214.436	228.221	212.972	193.315	173.313	153.283	135.232	115.029	93.822	71.442	
shared bitmap	209.179	227.516	215.439	197.231	177.567	157.5	138.358	117.166	94.292	69.245	
seperate bitmap	202.493	215.577	200.286	180.878	160.771	141.877	124.754	106.046	86.693	66.932	
dynamic vector with Vectorization processing	218.503	235.526	223.842	205.118	184.329	163.219	143.727	121.393	97.947	74.661	
static vector with Vectorization processing	214.465	228.504	213.126	193.31	173.563	153.946	135.792	115.541	94.238	72.102	
shared bitmap partition	209.686	228.151	215.778	197.645	178.164	157.852	138.697	117.485	94.647	69.533	
seperate bitmap with Vectorization processing	203.195	215.648	200.642	181.12	161.07	142.065	125.057	106.377	87.057	67.318	

non-partitioning, branch: 1
dynamic vector	258.098	305.393	324.261	333.214	344.981	368.633	378.617	387.787	397.88	407.514	
static vector (group)	234.674	256.66	245.764	228.949	210.351	193.328	178.138	161.135	143.428	124.912	
shared bitmap	807.005	865.107	923.633	990.525	1036.23	1009	955.013	895.549	832.342	770.575	
seperate bitmap	1620.07	1711.3	1806.03	1910.57	1978.19	1921.37	1827.79	1734.48	1638.6	1542.73	
dynamic vector with Vectorization processing	253.822	296.125	307.549	315.714	325.538	336.666	345.831	355.111	363.643	373.882	
static vector with Vectorization processing	236.041	258.841	246.578	228.527	210.777	194.411	179.356	162.011	143.83	124.237	
shared bitmap partition	847.521	900.573	954.546	1016.77	1058.45	1028.06	973.089	911.98	851.507	799.321	
seperate bitmap with Vectorization processing	1705.93	1795.64	1879.24	1973.87	2035.78	1982.48	1892.91	1803.4	1712.67	1621.8	

non-partitioning, branch: 2
dynamic vector	360.776	476.721	532.802	589.006	632.961	683.887	714.74	748.758	784.509	822.656	
static vector (group)	251.013	277.978	271.442	256.304	239.78	223.916	209.697	194.141	177.931	162.901	
shared bitmap	1339.66	1501.47	1636.79	1735.19	1747.54	1703.27	1647.84	1592.31	1544.02	1488.48	
seperate bitmap	2416.14	2502.98	2559.35	2611.92	2621.29	2545.94	2453.31	2359.58	2265.33	2163.97	
dynamic vector with Vectorization processing	352.454	451.932	500.178	543.167	583.926	620.545	650.244	681.514	713.786	748.371	
static vector with Vectorization processing	251.11	279.51	274.873	260.518	243.998	227.768	213.178	196.365	178.681	161.302	
shared bitmap partition	1390.76	1551.88	1698.89	1811.65	1835.77	1801.17	1755.23	1711.24	1668.69	1637.03	
seperate bitmap with Vectorization processing	2631.03	2717.92	2750.62	2790.38	2787.14	2724.05	2631.02	2546.26	2461.23	2374.02	

non-partitioning, branch: 3
dynamic vector	575.929	738.898	820.207	898.323	960.632	1028.58	1076.9	1129.14	1187.6	1243.77	
static vector (group)	289.716	325.787	316.765	304.085	287.803	273.562	261.216	247.289	232.919	221.869	
shared bitmap	2097.47	2275	2349.04	2403.2	2412.98	2375.92	2330.24	2286.98	2235.26	2177.25	
seperate bitmap	3320.3	3345.83	3320.76	3324.01	3322.06	3244.96	3150.61	3058.79	2964.66	2862.74	
dynamic vector with Vectorization processing	546.918	682.675	750.573	813.717	872.069	925.074	970.81	1018.79	1069.7	1121.54	
static vector with Vectorization processing	288.2	328.624	325.388	312.098	295.704	282.079	268.975	254.894	241.359	227.747	
shared bitmap partition	2140.47	2341.59	2442.75	2523.16	2554.16	2529.92	2499.55	2466.55	2434.57	2410.4	
seperate bitmap with Vectorization processing	3564.04	3589.4	3562.31	3549.52	3527.01	3449.81	3366.18	3277.36	3215.47	3126.29	


